단어	품사	뜻	발음기호	예문1	예문1 해석	예문2	예문2 해석	메모
competent	adjective	능숙한, 유능한	/ˈkɑːmpɪtənt/	She is a competent manager.	그녀는 유능한 관리자이다.	We need a competent person for this job.	우리는 이 일에 유능한 사람이 필요하다.	사람의 능력을 말할 때 자주 사용
available	adjective	이용 가능한, 시간이 있는	/əˈveɪləbl/	The room is available now.	그 방은 지금 이용 가능하다.	Are you available this afternoon?	오늘 오후에 시간 돼?	물건/사람/시간 모두 가능
resign	verb	사직하다, 물러나다	/rɪˈzaɪn/	He decided to resign from the company.	그는 회사를 그만두기로 결정했다.	The president resigned after the scandal.	그 대통령은 스캔들 이후 사임했다.	직책에서 물러날 때
proposal	noun	제안서, 제안	/prəˈpoʊzl/	She submitted a business proposal.	그녀는 사업 제안서를 제출했다.	We discussed his proposal at the meeting.	우리는 회의에서 그의 제안에 대해 논의했다.	회사/회의에서 자주 사용
coworker	noun	함께 일하는 사람, 동료	/ˈkoʊwɜːrkər/	I had lunch with my coworker.	나는 직장 동료와 점심을 먹었다.	My coworker helped me finish the report.	내 동료가 내가 보고서를 끝내는 것을 도와줬다.	직장 동료
honor	noun	명예, 영광	/ˈɑːnər/	It is an honor to meet you.	당신을 만나게 되어 영광입니다.	She received an award for her honor and service.	그녀는 명예와 봉사로 상을 받았다.	미국식 철자 honor
honor	verb	존경하다, 기리다	/ˈɑːnər/	We honor those who helped us.	우리는 우리를 도와준 사람들을 기린다.	The ceremony honored the victims.	그 의식은 희생자들을 기렸다.	동사로도 자주 사용
housing	noun	주택, 주택 공급	/ˈhaʊzɪŋ/	The city needs more affordable housing.	그 도시는 더 많은 저렴한 주택이 필요하다.	Housing prices are rising quickly.	주택 가격이 빠르게 오르고 있다.	집/주거 관련
dramatically	adverb	극적으로, 현저하게	/drəˈmætɪkli/	Sales increased dramatically last year.	작년에 매출이 극적으로 증가했다.	The situation changed dramatically.	상황이 크게 변했다.	변화가 클 때 사용
strategic	adjective	전략적인, 중요한	/strəˈtiːdʒɪk/	We made a strategic decision.	우리는 전략적인 결정을 내렸다.	The city has a strategic location.	그 도시는 전략적으로 중요한 위치에 있다.	비즈니스/군사 둘 다 사용
satisfactory	adjective	만족스러운, 충분한	/ˌsætɪsˈfæktəri/	The result was satisfactory.	그 결과는 만족스러웠다.	His performance was satisfactory but not excellent.	그의 성과는 만족스러웠지만 뛰어나지는 않았다.	기준을 충족한다는 느낌
preventive	adjective	예방을 위한	/prɪˈventɪv/	Preventive care can reduce health risks.	예방 치료는 건강 위험을 줄일 수 있다.	The company took preventive measures.	그 회사는 예방 조치를 취했다.	preventive measures 자주 씀
evaluation	noun	평가	/ɪˌvæljuˈeɪʃn/	The teacher gave us an evaluation.	선생님은 우리에게 평가를 해주었다.	The project is under evaluation.	그 프로젝트는 평가 중이다.	성과/프로젝트 평가
participatory	adjective	참여의, 참여형의	/pɑːrˌtɪsəpəˈtɔːri/	The program uses a participatory approach.	그 프로그램은 참여형 접근법을 사용한다.	Participatory learning helps students engage more.	참여형 학습은 학생들이 더 적극적으로 참여하게 돕는다.	참여 기반 방식
performance	noun	성과, 실적	/pərˈfɔːrməns/	Her performance improved this month.	그녀의 성과는 이번 달에 향상되었다.	The company’s performance was strong last year.	그 회사의 작년 실적은 좋았다.	업무/회사 실적
